Designator,Mid X,Mid Y,Layer,Rotation
C1,168.114636,-110.090303,top,90
C2,176.414636,-108.940303,top,0
C3,165.964636,-115.340303,top,0
C4,167.564636,-105.390303,top,0
C5,159.314636,-117.140303,top,0
C6,156.764636,-110.040303,top,90
C7,151.664636,-118.440303,top,-90
C8,149.664636,-118.440303,top,-90
C10,179.172136,-105.940303,top,0
C50,176.414636,-117.540303,top,0
D3,167.179636,-117.440303,top,180
D4,167.664636,-102.040303,top,0
D11,179.864636,-102.200303,top,0
D50,168.114636,-112.740303,top,90
J1,130.744636,-124.340303,top,0
J2,172.144636,-124.290303,top,0
L1,156.65,-121.95,top,180
M1,155.764636,-87.560303,top,180
PN532-Module1,163.794636,-83.590303,top,90
Q1,176.189636,-101.415303,top,0
Q2,172.614636,-103.513303,top,0
R1,167.564636,-103.840303,top,0
R2,180.527136,-104.240303,top,0
R3,159.454636,-107.490303,top,180
R4,168.364636,-107.440303,top,180
R5,159.164636,-108.740303,top,0
R6,132.964636,-112.040303,top,180
R7,137.125,-116.65,top,0
R8,137.125,-118.45,top,0
R10,173.339636,-107.990303,top,0
R11,173.339636,-109.540303,top,0
R13,176.389636,-107.390303,top,0
R14,122.814636,-86.240303,top,180
R15,107.889636,-87.950303,top,180
R16,113.164636,-114.590303,top,90
R18,111.424636,-87.935303,top,180
R19,114.964636,-87.935303,top,180
R21,116.339636,-92.190303,top,180
R53,176.414636,-112.040303,top,0
R54,176.414636,-110.490303,top,0
R55,176.714636,-115.490303,top,180
ST7789-Display1,122.854636,-123.240303,top,-90
SW1,135.684636,-83.590303,top,-90
SW2,107.064636,-84.560303,top,90
SW3,110.614636,-84.560303,top,90
SW4,114.164636,-84.560303,top,90
SW5,123.964636,-109.915303,top,90
SW6,123.964636,-96.290303,top,-90
U1,135.514636,-106.040303,top,0
U2,172.104636,-113.130303,top,90
U4,124.814636,-117.202803,top,180
U5,159.014636,-113.095303,top,90
U6,110.014636,-103.140303,top,90